Bait_Prey,State,Source,BFDR,SaintScore,EdgeAttr1,EdgeAttr2,Target,TargetAttr2,SourceAttr1,SourceAttr2
E-O00203,E,O00203,0,0.99,4.67,0.963550095,AP3B1,4.67,4.67,0.963550095
E-O00203,E,O00203,0,0.99,4.67,0.963550095,AP3B1,4.67,4.67,0.963550095
E-O00203,E,O00203,0,0.99,4.67,0.963550095,AP3B1,4.67,4.67,0.963550095
E-O00203,E,O60885,0,0.97,2.67,0.97848835,BRD4,4.67,4.67,0.963550095
E-O00203,E,O60885,0,0.97,2.67,0.97848835,BRD4,4.67,4.67,0.963550095
E-O00203,E,O60885,0,0.97,2.67,0.97848835,BRD4,4.67,4.67,0.963550095
E-P25440,E,P25440,0,1,7,0.906592876,BRD2,4.67,4.67,0.963550095
E-P25440,E,P25440,0,1,7,0.906592876,BRD2,4.67,4.67,0.963550095
E-P25440,E,P25440,0,1,7,0.906592876,BRD2,4.67,4.67,0.963550095
E-Q6UX04,E,Q6UX04,0.03,0.66,2.67,0.89310916,CWC27,4.67,4.67,0.963550095
E-Q6UX04,E,Q6UX04,0.03,0.66,2.67,0.89310916,CWC27,4.67,4.67,0.963550095
E-Q6UX04,E,Q6UX04,0.03,0.66,2.67,0.89310916,CWC27,4.67,4.67,0.963550095
E-Q86VM9,E,Q86VM9,0,0.97,2.67,0.796415039,ZC3H18,4.67,4.67,0.963550095
E-Q86VM9,E,Q86VM9,0,0.97,2.67,0.796415039,ZC3H18,4.67,4.67,0.963550095
E-Q86VM9,E,Q86VM9,0,0.97,2.67,0.796415039,ZC3H18,4.67,4.67,0.963550095
E-Q8IWA5,E,Q8IWA5,0,0.98,2.67,0.950342834,SLC44A2,4.67,4.67,0.963550095
E-Q8IWA5,E,Q8IWA5,0,0.98,2.67,0.950342834,SLC44A2,4.67,4.67,0.963550095
M-O75439,E,O75439,0,1,9.67,0.985120198,PMPCB,4.67,4.67,0.963550095
M-O75439,E,O75439,0,1,9.67,0.985120198,PMPCB,4.67,4.67,0.963550095
M-O95070,E,O95070,0,0.97,2.33,0.856000835,YIF1A,4.67,4.67,0.963550095
M-O95070,E,O95070,0,0.97,2.33,0.856000835,YIF1A,4.67,4.67,0.963550095
M-P05026,E,P05026,0,1,3.67,0.817625601,ATP1B1,4.67,4.67,0.963550095
M-P05026,E,P05026,0,1,3.67,0.817625601,ATP1B1,4.67,4.67,0.963550095
M-P11310,E,P11310,0,0.97,2.67,0.724348569,ACADM,4.67,4.67,0.963550095
M-P11310,E,P11310,0,0.97,2.67,0.724348569,ACADM,4.67,4.67,0.963550095
M-P13804,E,P13804,0,0.97,2.33,0.718398295,ETFA,4.67,4.67,0.963550095
M-P13804,E,P13804,0,0.97,2.33,0.718398295,ETFA,4.67,4.67,0.963550095
M-P13804,E,P13804,0,0.97,2.33,0.718398295,ETFA,4.67,4.67,0.963550095
M-P27105,E,P27105,0,0.98,3,0.752971772,STOM,4.67,4.67,0.963550095
M-P27105,E,P27105,0,0.98,3,0.752971772,STOM,4.67,4.67,0.963550095
M-P27105,E,P27105,0,0.98,3,0.752971772,STOM,4.67,4.67,0.963550095
M-P38435,E,P38435,0.01,0.96,2,0.789966998,GGCX,4.67,4.67,0.963550095
M-P38435,E,P38435,0.01,0.96,2,0.789966998,GGCX,4.67,4.67,0.963550095
M-P38435,E,P38435,0.01,0.96,2,0.789966998,GGCX,4.67,4.67,0.963550095
M-P38606,E,P38606,0.05,0.65,2.67,0.794938493,ATP6V1A,4.67,4.67,0.963550095
M-P38606,E,P38606,0.05,0.65,2.67,0.794938493,ATP6V1A,4.67,4.67,0.963550095
M-P38606,E,P38606,0.05,0.65,2.67,0.794938493,ATP6V1A,4.67,4.67,0.963550095
M-P48556,E,P48556,0.05,0.65,2,0.881424779,PSMD8,4.67,4.67,0.963550095
M-P48556,E,P48556,0.05,0.65,2,0.881424779,PSMD8,4.67,4.67,0.963550095
M-P48556,E,P48556,0.05,0.65,2,0.881424779,PSMD8,4.67,4.67,0.963550095
M-Q00765,E,Q00765,0,1,10.67,0.913088507,REEP5,4.67,4.67,0.963550095
M-Q00765,E,Q00765,0,1,10.67,0.913088507,REEP5,4.67,4.67,0.963550095
M-Q00765,E,Q00765,0,1,10.67,0.913088507,REEP5,4.67,4.67,0.963550095
