State,SourceID,SourceNodeColor,TargetID,PhosphorylationSiteID,TargetNodeColor
TimeStamp0,Source1,-0.21,Target1,SiteTarget1-1,-0.14
TimeStamp0,Source1,-0.21,Target1,SiteTarget1-2,1.94
TimeStamp0,Source1,-0.21,Target1,SiteTarget1-3,2.54
TimeStamp0,Source1,-0.21,Target1,SiteTarget1-4,-1.42
TimeStamp0,Source1,-0.21,Target2,SiteTarget2-1,-0.88
TimeStamp0,Source1,-0.21,Target3,SiteTarget3-1,3.46
TimeStamp0,Source1,-0.21,Target3,SiteTarget3-2,-2.01
TimeStamp0,Source1,-0.21,Target3,SiteTarget3-3,-3.03
TimeStamp0,Source1,-0.21,Target3,SiteTarget3-4,-4
TimeStamp0,Source1,-0.21,Target4,SiteTarget4-1,1.37
TimeStamp0,Source1,-0.21,Target5,SiteTarget5-1,-3.91
TimeStamp0,Source1,-0.21,Target6,SiteTarget6-1,2.8
TimeStamp0,Source2,3.09,Target1,SiteTarget1-1,-2.72
TimeStamp0,Source2,3.09,Target1,SiteTarget1-2,1.83
TimeStamp0,Source2,3.09,Target1,SiteTarget1-3,-1.15
TimeStamp0,Source2,3.09,Target1,SiteTarget1-4,0.16
TimeStamp0,Source2,3.09,Target7,SiteTarget7-1,2.28
TimeStamp0,Source3,3.08,Target8,SiteTarget8-1,1.49
TimeStamp0,Source3,3.08,Target3,SiteTarget3-1,1.03
TimeStamp0,Source3,3.08,Target3,SiteTarget3-2,3.12
TimeStamp0,Source3,3.08,Target3,SiteTarget3-3,-0.33
TimeStamp0,Source3,3.08,Target3,SiteTarget3-4,-3.41
TimeStamp0,Source3,3.08,Target9,SiteTarget9-1,-3.23
TimeStamp0,Source3,3.08,Target9,SiteTarget9-2,3.37
TimeStamp0,Source3,3.08,Target10,SiteTarget10-1,-0.39
TimeStamp0,Source3,3.08,Target11,SiteTarget11-1,-1.91
TimeStamp0,Source3,3.08,Target12,SiteTarget12-1,-2.77
TimeStamp0,Source3,3.08,Target13,SiteTarget13-1,1.33
TimeStamp0,Source3,3.08,Target14,SiteTarget14-1,-2.67
TimeStamp0,Source3,3.08,Target15,SiteTarget15-1,0.5
TimeStamp0,Source3,3.08,Target16,SiteTarget16-1,-1.29
TimeStamp0,Source4,-3.77,Target17,SiteTarget17-1,-1.83
TimeStamp0,Source4,-3.77,Target17,SiteTarget17-2,0.05
TimeStamp0,Source4,-3.77,Target17,SiteTarget17-3,-1.26
TimeStamp0,Source4,-3.77,Target17,SiteTarget17-4,-0.07
TimeStamp0,Source4,-3.77,Target17,SiteTarget17-5,-1.87
TimeStamp0,Source4,-3.77,Target17,SiteTarget17-6,1.26
TimeStamp0,Source4,-3.77,Target18,SiteTarget18-1,-3.6
TimeStamp0,Source4,-3.77,Target18,SiteTarget18-2,1.12
TimeStamp0,Source4,-3.77,Target19,SiteTarget19-1,-3.3
TimeStamp0,Source4,-3.77,Target20,SiteTarget20-1,-2.75
TimeStamp0,Source5,2.998,Target21,SiteTarget21-1,-3.21
TimeStamp0,Source5,2.998,Target21,SiteTarget21-2,0.84
TimeStamp0,Source5,2.998,Target21,SiteTarget21-3,-2.16
TimeStamp0,Source5,2.998,Target21,SiteTarget21-4,1.8
TimeStamp0,Source5,2.998,Target22,SiteTarget22-1,-3.49
TimeStamp0,Source5,2.998,Target23,SiteTarget23-1,-1.67
TimeStamp0,Source5,2.998,Target17,SiteTarget17-1,-0.24
TimeStamp0,Source5,2.998,Target17,SiteTarget17-2,2.56
TimeStamp0,Source5,2.998,Target17,SiteTarget17-3,-3.08
TimeStamp0,Source5,2.998,Target17,SiteTarget17-4,-2.13
TimeStamp0,Source5,2.998,Target17,SiteTarget17-5,-1.37
TimeStamp0,Source5,2.998,Target17,SiteTarget17-6,2.41
TimeStamp0,Source5,2.998,Target5,SiteTarget5-1,-2.94
TimeStamp0,Source6,2.426,Target24,SiteTarget24-2,2.24
TimeStamp0,Source6,2.426,Target24,SiteTarget24-3,-3.32
TimeStamp0,Source6,2.426,Target25,SiteTarget25-1,-1.24
TimeStamp0,Source6,2.426,Target26,SiteTarget26-1,-1.56
TimeStamp0,Source6,2.426,Target23,SiteTarget23-1,-0.84
